year,region_code,cluster
2008,11110,HL
2008,11140,LL
2008,11170,HL
2008,11200,NS
2008,11215,NS
2008,11230,NS
2008,11260,NS
2008,11290,NS
2008,11305,NS
2008,11320,NS
2008,11350,NS
2008,11380,NS
2008,11410,NS
2008,11440,NS
2008,11470,NS
2008,11500,NS
2008,11530,NS
2008,11545,NS
2008,11560,NS
2008,11590,NS
2008,11620,NS
2008,11650,NS
2008,11680,NS
2008,11710,NS
2008,11740,HH
2008,26110,NS
2008,26140,NS
2008,26170,NS
2008,26200,NS
2008,26230,NS
2008,26260,NS
2008,26290,NS
2008,26320,NS
2008,26350,NS
2008,26380,NS
2008,26410,NS
2008,26440,NS
2008,26470,NS
2008,26500,NS
2008,26530,NS
2008,26710,NS
2008,27110,NS
2008,27140,NS
2008,27170,NS
2008,27200,NS
2008,27230,NS
2008,27260,NS
2008,27290,NS
2008,27710,NS
2008,27720,NS
2008,28110,NS
2008,28140,NS
2008,28177,NS
2008,28185,NS
2008,28200,NS
2008,28237,NS
2008,28245,NS
2008,28260,NS
2008,28710,HH
2008,28720,NS
2008,29110,NS
2008,29140,NS
2008,29155,NS
2008,29170,HL
2008,29200,NS
2008,30110,NS
2008,30140,NS
2008,30170,NS
2008,30200,NS
2008,30230,NS
2008,31110,LH
2008,31140,NS
2008,31170,NS
2008,31200,NS
2008,31710,NS
2008,36110,NS
2008,41110,LH
2008,41130,LH
2008,41150,NS
2008,41170,NS
2008,41190,NS
2008,41210,NS
2008,41220,HH
2008,41250,NS
2008,41270,LH
2008,41280,NS
2008,41290,NS
2008,41310,NS
2008,41360,HH
2008,41370,HH
2008,41390,NS
2008,41410,NS
2008,41430,NS
2008,41450,NS
2008,41460,HH
2008,41480,NS
2008,41500,NS
2008,41550,NS
2008,41570,NS
2008,41590,NS
2008,41610,NS
2008,41630,NS
2008,41650,HH
2008,41670,NS
2008,41800,NS
2008,41820,HH
2008,41830,NS
2008,43110,NS
2008,43130,NS
2008,43150,NS
2008,43720,NS
2008,43730,NS
2008,43740,NS
2008,43745,NS
2008,43750,NS
2008,43760,NS
2008,43770,NS
2008,43800,NS
2008,44130,NS
2008,44150,LH
2008,44180,NS
2008,44200,NS
2008,44210,NS
2008,44230,NS
2008,44250,NS
2008,44270,HH
2008,44710,NS
2008,44760,NS
2008,44770,NS
2008,44790,NS
2008,44800,NS
2008,44810,NS
2008,44825,NS
2008,46110,NS
2008,46130,NS
2008,46150,NS
2008,46170,NS
2008,46230,NS
2008,46710,NS
2008,46720,LL
2008,46730,NS
2008,46770,NS
2008,46780,NS
2008,46790,LL
2008,46800,NS
2008,46810,NS
2008,46820,NS
2008,46830,NS
2008,46840,NS
2008,46860,NS
2008,46870,NS
2008,46880,NS
2008,46890,NS
2008,46900,NS
2008,46910,HH
2008,47110,NS
2008,47130,NS
2008,47150,NS
2008,47170,NS
2008,47190,NS
2008,47210,NS
2008,47230,NS
2008,47250,NS
2008,47280,NS
2008,47290,NS
2008,47730,NS
2008,47750,NS
2008,47760,NS
2008,47770,NS
2008,47820,NS
2008,47830,NS
2008,47840,NS
2008,47850,NS
2008,47900,NS
2008,47920,NS
2008,47930,NS
2008,47940,NS
2008,48110,NS
2008,48170,NS
2008,48220,NS
2008,48240,HL
2008,48250,NS
2008,48270,NS
2008,48310,NS
2008,48330,NS
2008,48720,NS
2008,48730,NS
2008,48740,NS
2008,48820,NS
2008,48840,NS
2008,48850,NS
2008,48860,NS
2008,48870,HL
2008,48880,LL
2008,48890,NS
2008,50110,NS
2008,50130,NS
2008,51110,NS
2008,51130,NS
2008,51150,NS
2008,51170,NS
2008,51190,NS
2008,51210,NS
2008,51230,NS
2008,51720,NS
2008,51730,NS
2008,51750,NS
2008,51760,NS
2008,51770,NS
2008,51780,NS
2008,51790,NS
2008,51800,NS
2008,51810,NS
2008,51820,NS
2008,51830,NS
2008,52110,NS
2008,52130,NS
2008,52140,NS
2008,52180,NS
2008,52190,LL
2008,52210,NS
2008,52710,HL
2008,52720,LL
2008,52730,LL
2008,52740,LL
2008,52750,LL
2008,52770,LL
2008,52790,NS
2008,52800,NS
2009,11110,LL
2009,11140,LL
2009,11170,NS
2009,11200,LL
2009,11215,NS
2009,11230,LL
2009,11260,LL
2009,11290,HL
2009,11305,NS
2009,11320,NS
2009,11350,NS
2009,11380,NS
2009,11410,NS
2009,11440,NS
2009,11470,NS
2009,11500,NS
2009,11530,LL
2009,11545,NS
2009,11560,LL
2009,11590,NS
2009,11620,NS
2009,11650,NS
2009,11680,NS
2009,11710,NS
2009,11740,NS
2009,26110,LL
2009,26140,LL
2009,26170,LL
2009,26200,NS
2009,26230,LL
2009,26260,LL
2009,26290,NS
2009,26320,LH
2009,26350,NS
2009,26380,LH
2009,26410,LH
2009,26440,HL
2009,26470,NS
2009,26500,NS
2009,26530,NS
2009,26710,NS
2009,27110,NS
2009,27140,NS
2009,27170,NS
2009,27200,NS
2009,27230,NS
2009,27260,NS
2009,27290,NS
2009,27710,NS
2009,27720,NS
2009,28110,NS
2009,28140,NS
2009,28177,NS
2009,28185,NS
2009,28200,NS
2009,28237,NS
2009,28245,NS
2009,28260,NS
2009,28710,LH
2009,28720,NS
2009,29110,LL
2009,29140,NS
2009,29155,NS
2009,29170,NS
2009,29200,HL
2009,30110,NS
2009,30140,NS
2009,30170,NS
2009,30200,NS
2009,30230,NS
2009,31110,NS
2009,31140,NS
2009,31170,NS
2009,31200,NS
2009,31710,NS
2009,36110,NS
2009,41110,LH
2009,41130,HH
2009,41150,NS
2009,41170,NS
2009,41190,NS
2009,41210,NS
2009,41220,HH
2009,41250,NS
2009,41270,NS
2009,41280,NS
2009,41290,NS
2009,41310,NS
2009,41360,NS
2009,41370,HH
2009,41390,NS
2009,41410,NS
2009,41430,NS
2009,41450,NS
2009,41460,HH
2009,41480,NS
2009,41500,NS
2009,41550,NS
2009,41570,NS
2009,41590,NS
2009,41610,HH
2009,41630,NS
2009,41650,NS
2009,41670,NS
2009,41800,NS
2009,41820,NS
2009,41830,NS
2009,43110,NS
2009,43130,NS
2009,43150,NS
2009,43720,NS
2009,43730,NS
2009,43740,NS
2009,43745,NS
2009,43750,NS
2009,43760,NS
2009,43770,NS
2009,43800,NS
2009,44130,NS
2009,44150,NS
2009,44180,NS
2009,44200,NS
2009,44210,NS
2009,44230,NS
2009,44250,NS
2009,44270,NS
2009,44710,NS
2009,44760,NS
2009,44770,NS
2009,44790,NS
2009,44800,NS
2009,44810,NS
2009,44825,NS
2009,46110,LH
2009,46130,NS
2009,46150,NS
2009,46170,LH
2009,46230,NS
2009,46710,LL
2009,46720,NS
2009,46730,NS
2009,46770,NS
2009,46780,NS
2009,46790,LL
2009,46800,NS
2009,46810,NS
2009,46820,NS
2009,46830,NS
2009,46840,NS
2009,46860,LH
2009,46870,NS
2009,46880,NS
2009,46890,NS
2009,46900,NS
2009,46910,LH
2009,47110,NS
2009,47130,NS
2009,47150,NS
2009,47170,NS
2009,47190,NS
2009,47210,NS
2009,47230,NS
2009,47250,NS
2009,47280,NS
2009,47290,NS
2009,47730,NS
2009,47750,NS
2009,47760,NS
2009,47770,NS
2009,47820,NS
2009,47830,NS
2009,47840,NS
2009,47850,NS
2009,47900,NS
2009,47920,NS
2009,47930,NS
2009,47940,NS
2009,48110,LH
2009,48170,NS
2009,48220,NS
2009,48240,NS
2009,48250,HH
2009,48270,NS
2009,48310,NS
2009,48330,NS
2009,48720,NS
2009,48730,NS
2009,48740,NS
2009,48820,NS
2009,48840,NS
2009,48850,NS
2009,48860,HL
2009,48870,NS
2009,48880,NS
2009,48890,NS
2009,50110,NS
2009,50130,NS
2009,51110,NS
2009,51130,NS
2009,51150,NS
2009,51170,NS
2009,51190,NS
2009,51210,NS
2009,51230,NS
2009,51720,NS
2009,51730,NS
2009,51750,NS
2009,51760,NS
2009,51770,NS
2009,51780,NS
2009,51790,NS
2009,51800,NS
2009,51810,NS
2009,51820,NS
2009,51830,NS
2009,52110,NS
2009,52130,NS
2009,52140,NS
2009,52180,NS
2009,52190,LL
2009,52210,NS
2009,52710,NS
2009,52720,NS
2009,52730,NS
2009,52740,NS
2009,52750,NS
2009,52770,LL
2009,52790,NS
2009,52800,NS
2010,11110,NS
2010,11140,LL
2010,11170,LL
2010,11200,LL
2010,11215,LL
2010,11230,LL
2010,11260,NS
2010,11290,NS
2010,11305,NS
2010,11320,NS
2010,11350,NS
2010,11380,HL
2010,11410,NS
2010,11440,LL
2010,11470,LL
2010,11500,NS
2010,11530,NS
2010,11545,NS
2010,11560,LL
2010,11590,LL
2010,11620,LL
2010,11650,NS
2010,11680,LL
2010,11710,NS
2010,11740,NS
2010,26110,LL
2010,26140,LL
2010,26170,LL
2010,26200,NS
2010,26230,LL
2010,26260,NS
2010,26290,NS
2010,26320,NS
2010,26350,LH
2010,26380,NS
2010,26410,HH
2010,26440,NS
2010,26470,NS
2010,26500,NS
2010,26530,NS
2010,26710,NS
2010,27110,NS
2010,27140,NS
2010,27170,NS
2010,27200,NS
2010,27230,NS
2010,27260,NS
2010,27290,HL
2010,27710,NS
2010,27720,NS
2010,28110,NS
2010,28140,NS
2010,28177,NS
2010,28185,NS
2010,28200,NS
2010,28237,NS
2010,28245,NS
2010,28260,NS
2010,28710,LH
2010,28720,NS
2010,29110,NS
2010,29140,NS
2010,29155,NS
2010,29170,NS
2010,29200,NS
2010,30110,NS
2010,30140,NS
2010,30170,NS
2010,30200,NS
2010,30230,NS
2010,31110,NS
2010,31140,NS
2010,31170,NS
2010,31200,NS
2010,31710,HH
2010,36110,NS
2010,41110,NS
2010,41130,NS
2010,41150,NS
2010,41170,NS
2010,41190,NS
2010,41210,HL
2010,41220,HH
2010,41250,NS
2010,41270,NS
2010,41280,LH
2010,41290,NS
2010,41310,NS
2010,41360,NS
2010,41370,NS
2010,41390,NS
2010,41410,NS
2010,41430,NS
2010,41450,NS
2010,41460,HH
2010,41480,HH
2010,41500,HH
2010,41550,NS
2010,41570,NS
2010,41590,HH
2010,41610,HH
2010,41630,NS
2010,41650,LH
2010,41670,HH
2010,41800,LH
2010,41820,NS
2010,41830,HH
2010,43110,NS
2010,43130,NS
2010,43150,NS
2010,43720,NS
2010,43730,NS
2010,43740,NS
2010,43745,NS
2010,43750,NS
2010,43760,NS
2010,43770,NS
2010,43800,NS
2010,44130,NS
2010,44150,NS
2010,44180,NS
2010,44200,NS
2010,44210,NS
2010,44230,NS
2010,44250,NS
2010,44270,NS
2010,44710,NS
2010,44760,NS
2010,44770,NS
2010,44790,NS
2010,44800,NS
2010,44810,NS
2010,44825,NS
2010,46110,NS
2010,46130,NS
2010,46150,NS
2010,46170,NS
2010,46230,NS
2010,46710,NS
2010,46720,NS
2010,46730,NS
2010,46770,NS
2010,46780,NS
2010,46790,LL
2010,46800,NS
2010,46810,NS
2010,46820,NS
2010,46830,NS
2010,46840,NS
2010,46860,NS
2010,46870,NS
2010,46880,NS
2010,46890,LL
2010,46900,LL
2010,46910,NS
2010,47110,NS
2010,47130,NS
2010,47150,NS
2010,47170,NS
2010,47190,NS
2010,47210,NS
2010,47230,NS
2010,47250,NS
2010,47280,NS
2010,47290,NS
2010,47730,NS
2010,47750,NS
2010,47760,NS
2010,47770,NS
2010,47820,NS
2010,47830,NS
2010,47840,NS
2010,47850,NS
2010,47900,NS
2010,47920,NS
2010,47930,NS
2010,47940,NS
2010,48110,NS
2010,48170,NS
2010,48220,NS
2010,48240,NS
2010,48250,NS
2010,48270,NS
2010,48310,NS
2010,48330,HH
2010,48720,NS
2010,48730,NS
2010,48740,NS
2010,48820,NS
2010,48840,NS
2010,48850,NS
2010,48860,NS
2010,48870,NS
2010,48880,NS
2010,48890,NS
2010,50110,NS
2010,50130,NS
2010,51110,NS
2010,51130,NS
2010,51150,NS
2010,51170,NS
2010,51190,NS
2010,51210,NS
2010,51230,NS
2010,51720,NS
2010,51730,NS
2010,51750,NS
2010,51760,NS
2010,51770,NS
2010,51780,NS
2010,51790,NS
2010,51800,NS
2010,51810,NS
2010,51820,NS
2010,51830,NS
2010,52110,NS
2010,52130,NS
2010,52140,NS
2010,52180,NS
2010,52190,NS
2010,52210,NS
2010,52710,NS
2010,52720,NS
2010,52730,NS
2010,52740,NS
2010,52750,NS
2010,52770,NS
2010,52790,NS
2010,52800,NS
2011,11110,LL
2011,11140,LL
2011,11170,HL
2011,11200,NS
2011,11215,LL
2011,11230,LL
2011,11260,LL
2011,11290,NS
2011,11305,NS
2011,11320,NS
2011,11350,NS
2011,11380,HL
2011,11410,NS
2011,11440,LL
2011,11470,LL
2011,11500,NS
2011,11530,NS
2011,11545,NS
2011,11560,NS
2011,11590,LL
2011,11620,LL
2011,11650,NS
2011,11680,LL
2011,11710,LL
2011,11740,NS
2011,26110,LL
2011,26140,LL
2011,26170,LL
2011,26200,NS
2011,26230,LL
2011,26260,NS
2011,26290,NS
2011,26320,NS
2011,26350,NS
2011,26380,NS
2011,26410,NS
2011,26440,HL
2011,26470,NS
2011,26500,NS
2011,26530,NS
2011,26710,NS
2011,27110,NS
2011,27140,NS
2011,27170,NS
2011,27200,NS
2011,27230,NS
2011,27260,NS
2011,27290,NS
2011,27710,NS
2011,27720,NS
2011,28110,NS
2011,28140,NS
2011,28177,LH
2011,28185,NS
2011,28200,NS
2011,28237,NS
2011,28245,LH
2011,28260,NS
2011,28710,HH
2011,28720,NS
2011,29110,NS
2011,29140,NS
2011,29155,NS
2011,29170,NS
2011,29200,NS
2011,30110,NS
2011,30140,NS
2011,30170,NS
2011,30200,NS
2011,30230,NS
2011,31110,NS
2011,31140,NS
2011,31170,NS
2011,31200,NS
2011,31710,NS
2011,36110,NS
2011,41110,NS
2011,41130,NS
2011,41150,NS
2011,41170,NS
2011,41190,NS
2011,41210,HL
2011,41220,HH
2011,41250,NS
2011,41270,NS
2011,41280,NS
2011,41290,NS
2011,41310,NS
2011,41360,NS
2011,41370,NS
2011,41390,NS
2011,41410,NS
2011,41430,NS
2011,41450,NS
2011,41460,HH
2011,41480,HH
2011,41500,HH
2011,41550,NS
2011,41570,HH
2011,41590,HH
2011,41610,NS
2011,41630,NS
2011,41650,NS
2011,41670,LH
2011,41800,NS
2011,41820,HH
2011,41830,HH
2011,43110,HH
2011,43130,NS
2011,43150,NS
2011,43720,NS
2011,43730,NS
2011,43740,NS
2011,43745,NS
2011,43750,NS
2011,43760,NS
2011,43770,NS
2011,43800,NS
2011,44130,NS
2011,44150,NS
2011,44180,NS
2011,44200,NS
2011,44210,NS
2011,44230,NS
2011,44250,NS
2011,44270,NS
2011,44710,NS
2011,44760,NS
2011,44770,NS
2011,44790,NS
2011,44800,NS
2011,44810,NS
2011,44825,NS
2011,46110,NS
2011,46130,NS
2011,46150,NS
2011,46170,NS
2011,46230,NS
2011,46710,NS
2011,46720,NS
2011,46730,NS
2011,46770,NS
2011,46780,NS
2011,46790,NS
2011,46800,NS
2011,46810,NS
2011,46820,NS
2011,46830,NS
2011,46840,HL
2011,46860,NS
2011,46870,NS
2011,46880,NS
2011,46890,NS
2011,46900,NS
2011,46910,NS
2011,47110,NS
2011,47130,NS
2011,47150,NS
2011,47170,NS
2011,47190,NS
2011,47210,NS
2011,47230,NS
2011,47250,NS
2011,47280,NS
2011,47290,NS
2011,47730,NS
2011,47750,NS
2011,47760,NS
2011,47770,NS
2011,47820,NS
2011,47830,NS
2011,47840,NS
2011,47850,NS
2011,47900,NS
2011,47920,NS
2011,47930,NS
2011,47940,NS
2011,48110,NS
2011,48170,NS
2011,48220,NS
2011,48240,LH
2011,48250,NS
2011,48270,NS
2011,48310,NS
2011,48330,NS
2011,48720,NS
2011,48730,NS
2011,48740,NS
2011,48820,NS
2011,48840,NS
2011,48850,NS
2011,48860,NS
2011,48870,NS
2011,48880,NS
2011,48890,NS
2011,50110,NS
2011,50130,NS
2011,51110,NS
2011,51130,NS
2011,51150,NS
2011,51170,NS
2011,51190,NS
2011,51210,NS
2011,51230,NS
2011,51720,NS
2011,51730,NS
2011,51750,NS
2011,51760,NS
2011,51770,NS
2011,51780,NS
2011,51790,NS
2011,51800,NS
2011,51810,NS
2011,51820,NS
2011,51830,NS
2011,52110,NS
2011,52130,NS
2011,52140,NS
2011,52180,NS
2011,52190,NS
2011,52210,NS
2011,52710,NS
2011,52720,NS
2011,52730,NS
2011,52740,NS
2011,52750,NS
2011,52770,NS
2011,52790,NS
2011,52800,NS
2012,11110,NS
2012,11140,LL
2012,11170,NS
2012,11200,LL
2012,11215,LL
2012,11230,LL
2012,11260,LL
2012,11290,LL
2012,11305,NS
2012,11320,NS
2012,11350,NS
2012,11380,NS
2012,11410,NS
2012,11440,NS
2012,11470,NS
2012,11500,NS
2012,11530,NS
2012,11545,NS
2012,11560,LL
2012,11590,HL
2012,11620,NS
2012,11650,NS
2012,11680,LL
2012,11710,LL
2012,11740,NS
2012,26110,LL
2012,26140,LL
2012,26170,LL
2012,26200,NS
2012,26230,LL
2012,26260,NS
2012,26290,NS
2012,26320,NS
2012,26350,NS
2012,26380,NS
2012,26410,NS
2012,26440,NS
2012,26470,NS
2012,26500,NS
2012,26530,NS
2012,26710,NS
2012,27110,NS
2012,27140,NS
2012,27170,NS
2012,27200,NS
2012,27230,NS
2012,27260,NS
2012,27290,NS
2012,27710,NS
2012,27720,NS
2012,28110,NS
2012,28140,LH
2012,28177,LH
2012,28185,NS
2012,28200,NS
2012,28237,NS
2012,28245,LH
2012,28260,NS
2012,28710,HH
2012,28720,NS
2012,29110,NS
2012,29140,NS
2012,29155,NS
2012,29170,NS
2012,29200,NS
2012,30110,NS
2012,30140,NS
2012,30170,NS
2012,30200,HH
2012,30230,NS
2012,31110,NS
2012,31140,NS
2012,31170,NS
2012,31200,NS
2012,31710,NS
2012,36110,NS
2012,41110,NS
2012,41130,NS
2012,41150,NS
2012,41170,NS
2012,41190,NS
2012,41210,NS
2012,41220,NS
2012,41250,NS
2012,41270,NS
2012,41280,NS
2012,41290,NS
2012,41310,NS
2012,41360,NS
2012,41370,NS
2012,41390,NS
2012,41410,NS
2012,41430,NS
2012,41450,NS
2012,41460,NS
2012,41480,HH
2012,41500,NS
2012,41550,NS
2012,41570,HH
2012,41590,NS
2012,41610,NS
2012,41630,NS
2012,41650,NS
2012,41670,NS
2012,41800,NS
2012,41820,NS
2012,41830,HH
2012,43110,HH
2012,43130,NS
2012,43150,NS
2012,43720,NS
2012,43730,NS
2012,43740,NS
2012,43745,NS
2012,43750,NS
2012,43760,NS
2012,43770,NS
2012,43800,NS
2012,44130,HH
2012,44150,LH
2012,44180,NS
2012,44200,NS
2012,44210,NS
2012,44230,NS
2012,44250,NS
2012,44270,NS
2012,44710,NS
2012,44760,NS
2012,44770,NS
2012,44790,NS
2012,44800,NS
2012,44810,NS
2012,44825,NS
2012,46110,NS
2012,46130,NS
2012,46150,NS
2012,46170,NS
2012,46230,LL
2012,46710,NS
2012,46720,NS
2012,46730,LL
2012,46770,NS
2012,46780,NS
2012,46790,NS
2012,46800,HL
2012,46810,NS
2012,46820,NS
2012,46830,NS
2012,46840,NS
2012,46860,NS
2012,46870,NS
2012,46880,NS
2012,46890,NS
2012,46900,NS
2012,46910,NS
2012,47110,NS
2012,47130,NS
2012,47150,NS
2012,47170,NS
2012,47190,NS
2012,47210,NS
2012,47230,NS
2012,47250,NS
2012,47280,NS
2012,47290,NS
2012,47730,NS
2012,47750,NS
2012,47760,NS
2012,47770,NS
2012,47820,NS
2012,47830,NS
2012,47840,NS
2012,47850,NS
2012,47900,NS
2012,47920,NS
2012,47930,NS
2012,47940,NS
2012,48110,NS
2012,48170,NS
2012,48220,NS
2012,48240,HL
2012,48250,NS
2012,48270,NS
2012,48310,NS
2012,48330,NS
2012,48720,NS
2012,48730,NS
2012,48740,NS
2012,48820,NS
2012,48840,NS
2012,48850,NS
2012,48860,NS
2012,48870,NS
2012,48880,NS
2012,48890,NS
2012,50110,NS
2012,50130,NS
2012,51110,NS
2012,51130,NS
2012,51150,NS
2012,51170,NS
2012,51190,NS
2012,51210,NS
2012,51230,NS
2012,51720,NS
2012,51730,NS
2012,51750,NS
2012,51760,NS
2012,51770,NS
2012,51780,NS
2012,51790,NS
2012,51800,NS
2012,51810,NS
2012,51820,NS
2012,51830,NS
2012,52110,NS
2012,52130,NS
2012,52140,NS
2012,52180,NS
2012,52190,NS
2012,52210,NS
2012,52710,HL
2012,52720,NS
2012,52730,NS
2012,52740,HL
2012,52750,NS
2012,52770,NS
2012,52790,NS
2012,52800,NS
2013,11110,NS
2013,11140,LL
2013,11170,LL
2013,11200,LL
2013,11215,LL
2013,11230,LL
2013,11260,LL
2013,11290,LL
2013,11305,NS
2013,11320,LL
2013,11350,NS
2013,11380,NS
2013,11410,LL
2013,11440,LL
2013,11470,LL
2013,11500,NS
2013,11530,LL
2013,11545,LL
2013,11560,LL
2013,11590,HL
2013,11620,LL
2013,11650,HL
2013,11680,NS
2013,11710,LL
2013,11740,NS
2013,26110,LL
2013,26140,LL
2013,26170,LL
2013,26200,NS
2013,26230,LL
2013,26260,LL
2013,26290,LL
2013,26320,NS
2013,26350,LH
2013,26380,NS
2013,26410,LH
2013,26440,HL
2013,26470,NS
2013,26500,NS
2013,26530,NS
2013,26710,NS
2013,27110,NS
2013,27140,NS
2013,27170,NS
2013,27200,NS
2013,27230,NS
2013,27260,NS
2013,27290,NS
2013,27710,NS
2013,27720,NS
2013,28110,NS
2013,28140,LH
2013,28177,LH
2013,28185,HH
2013,28200,NS
2013,28237,NS
2013,28245,LH
2013,28260,NS
2013,28710,HH
2013,28720,NS
2013,29110,NS
2013,29140,NS
2013,29155,NS
2013,29170,NS
2013,29200,NS
2013,30110,NS
2013,30140,NS
2013,30170,NS
2013,30200,NS
2013,30230,NS
2013,31110,NS
2013,31140,NS
2013,31170,NS
2013,31200,NS
2013,31710,LH
2013,36110,NS
2013,41110,NS
2013,41130,NS
2013,41150,NS
2013,41170,LL
2013,41190,LL
2013,41210,LL
2013,41220,NS
2013,41250,NS
2013,41270,NS
2013,41280,NS
2013,41290,NS
2013,41310,NS
2013,41360,NS
2013,41370,NS
2013,41390,LL
2013,41410,NS
2013,41430,NS
2013,41450,NS
2013,41460,NS
2013,41480,HH
2013,41500,NS
2013,41550,NS
2013,41570,NS
2013,41590,NS
2013,41610,NS
2013,41630,NS
2013,41650,NS
2013,41670,NS
2013,41800,NS
2013,41820,NS
2013,41830,NS
2013,43110,HH
2013,43130,NS
2013,43150,NS
2013,43720,NS
2013,43730,NS
2013,43740,NS
2013,43745,NS
2013,43750,NS
2013,43760,NS
2013,43770,NS
2013,43800,NS
2013,44130,HH
2013,44150,NS
2013,44180,NS
2013,44200,NS
2013,44210,NS
2013,44230,NS
2013,44250,NS
2013,44270,NS
2013,44710,NS
2013,44760,NS
2013,44770,NS
2013,44790,NS
2013,44800,NS
2013,44810,NS
2013,44825,NS
2013,46110,NS
2013,46130,NS
2013,46150,NS
2013,46170,NS
2013,46230,NS
2013,46710,NS
2013,46720,NS
2013,46730,NS
2013,46770,NS
2013,46780,NS
2013,46790,NS
2013,46800,NS
2013,46810,NS
2013,46820,NS
2013,46830,NS
2013,46840,NS
2013,46860,NS
2013,46870,NS
2013,46880,NS
2013,46890,NS
2013,46900,NS
2013,46910,HH
2013,47110,NS
2013,47130,NS
2013,47150,NS
2013,47170,NS
2013,47190,NS
2013,47210,NS
2013,47230,NS
2013,47250,NS
2013,47280,NS
2013,47290,NS
2013,47730,NS
2013,47750,NS
2013,47760,NS
2013,47770,NS
2013,47820,NS
2013,47830,NS
2013,47840,NS
2013,47850,NS
2013,47900,NS
2013,47920,NS
2013,47930,NS
2013,47940,NS
2013,48110,NS
2013,48170,NS
2013,48220,NS
2013,48240,NS
2013,48250,NS
2013,48270,NS
2013,48310,NS
2013,48330,HH
2013,48720,NS
2013,48730,NS
2013,48740,NS
2013,48820,NS
2013,48840,NS
2013,48850,NS
2013,48860,NS
2013,48870,NS
2013,48880,NS
2013,48890,NS
2013,50110,NS
2013,50130,NS
2013,51110,NS
2013,51130,NS
2013,51150,NS
2013,51170,NS
2013,51190,NS
2013,51210,NS
2013,51230,NS
2013,51720,NS
2013,51730,NS
2013,51750,NS
2013,51760,NS
2013,51770,NS
2013,51780,NS
2013,51790,NS
2013,51800,NS
2013,51810,NS
2013,51820,NS
2013,51830,NS
2013,52110,NS
2013,52130,NS
2013,52140,NS
2013,52180,NS
2013,52190,NS
2013,52210,NS
2013,52710,NS
2013,52720,NS
2013,52730,NS
2013,52740,NS
2013,52750,NS
2013,52770,NS
